feature,tfidf
00,0.0
000,0.0
03,0.0
03persatuanindonesia,0.0
05,0.0
08,0.0
0b6a3gmwry,0.0
0czq3836bg,0.0
0so3v2jmmw,0.0
0v7wvgfgla,0.0
0vxniqybu4,0.0
0wwu9oyppa,0.0
0xo2x4h9fw,0.0
10,0.0
100,0.0
10q6fmclyh,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
160rb,0.0
18,0.0
180,0.0
19,0.0
190,0.0
1929,0.0
1945,0.0
1956,0.0
1957,0.0
1960,0.0
1990an,0.0
1d5i9v3ige,0.0
1fqwxla92p,0.0
1keluarga,0.0
1mgphn7zn2,0.0
1nya,0.0
1p6c3nxcjg,0.0
1s27hoq6rx,0.0
1w9wbnuuta,0.0
1zzdysjods,0.0
20,0.0
2007,0.0
2008,0.0
2009,0.0
2013,0.0
2014,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2024,0.0
2045,0.0
21,0.0
21ddzljufc,0.0
21hsaktehg,0.0
22,0.0
23,0.0
24,0.0
241,0.0
25,0.0
25jt,0.0
26,0.0
263,0.0
27,0.0
28,0.0
28h,0.0
29,0.0
2f,0.0
2hvkrhwun5,0.0
2idudmrsdu,0.0
2krreliubq,0.0
2qa6h2oavx,0.0
2uozfybqsy,0.0
30,0.0
300,0.0
32thn,0.0
34,0.0
34yfi16iwz,0.0
35,0.0
350,0.0
36,0.0
38,0.0
39,0.0
3a,0.0
3b6mcfhg6f,0.0
3cdsrifkph,0.0
3fnkcy6tjn,0.0
3mkvzdtxwj,0.0
3ogjsnqft4,0.0
3ribgd5nrp,0.0
3x,0.0
40,0.0
400,0.0
41,0.0
43epwx0dwv,0.0
446t,0.0
45,0.0
464laldfpx,0.0
466,0.0
466t,0.0
47,0.0
470,0.0
470t,0.0
4778vrsngb,0.0
48am,0.0
4bwiz2mh9g,0.0
4cnbzd61my,0.0
4gcubgupf5,0.0
4hnb8jtefd,0.0
4jfxd7fsrp,0.0
4lwaul7eru,0.0
4x56d53fke,0.0
4z9ty9l3mc,0.0
50,0.0
500,0.0
500t,0.0
51,0.0
55,0.0
55jhmkykkq,0.0
57,0.0
571,0.0
571t,0.0
5cc5wdhaxg,0.0
5hhrgyztvk,0.0
5krzxqpjkf,0.0
5lofw1pvyi,0.0
5t,0.0
5th,0.0
5triliun,0.0
5xnudjhftk,0.0
60,0.0
61l6oihywq,0.0
62,0.0
67,0.0
6anh66sq7h,0.0
6bdzlslmbd,0.0
6i9mkzpefh,0.0
6t06gswxbl,0.0
6yikz02km9,0.0
6zr5mnttnr,0.0
72hs5m2n8z,0.0
75,0.0
7gblbpr3mx,0.0
7itkazumul,0.0
7lpjwgfex8,0.0
7ydr70e7ii,0.0
800rb,0.0
81,0.0
8211,0.0
865,0.0
8adoyeoawd,0.0
8hrfm6fhwe,0.0
8ncqyk1mmp,0.0
8rexuxsyhk,0.0
8v10dx6d1r,0.0
8wqh1yiim3,0.0
90,0.0
93,0.0
94,0.0
9kjdocn3u8,0.0
9uqnk13hxj,0.0
9wdswpuoul,0.0
9ymy0zpx5r,0.0
a8j1zw3njj,0.0
aaaccchhh,0.0
aamiin,0.0
ab,0.0
abad,0.0
abadi,0.0
abai,0.0
abdi,0.0
abdullah,0.0
abdur,0.0
abis,0.0
abu,0.0
abud,0.0
acap,0.0
acara,0.0
ace,0.0
ackting,0.0
actually,0.0
acuh,0.0
ad,0.0
ada,0.0
adab,0.0
adadikompas,0.0
adal,0.0
adalah,0.0
adan,0.0
adat,0.0
ade,0.0
adi,0.0
adik,0.0
adil,0.0
adl,0.0
adlah,0.0
adlh,0.0
admin,0.0
administrasi,0.0
adu,0.0
aduk,0.0
advokasi,0.0
aewdvfevff,0.0
afrika,0.0
agak,0.0
agam,0.0
agama,0.0
agar,0.0
agen,0.0
agenda,0.0
agr,0.0
agraria,0.0
agresi,0.0
agt,0.0
agung,0.0
agustus,0.0
ah,0.0
aher,0.0
ahergubernur,0.0
ahli,0.0
ahli2,0.0
ahmad,0.0
ahok,0.0
aiman,0.0
air,0.0
aj,0.0
aja,0.0
ajak,0.0
ajar,0.0
ajbrbrclar,0.0
aju,0.0
akademik,0.0
akademis,0.0
akademisi,0.0
akal,0.0
akan,0.0
akar,0.0
akhir,0.0
akhir2,0.0
aki,0.0
akibat,0.0
akipagitvone,0.0
aklamasi,0.0
akn,0.0
akrab,0.0
akselerasi,0.0
akses,0.0
aksi,0.0
akta,0.0
